Country_name,date,Total_new_deceased
United States of America,2021-02-01,2190
India,2021-04-29,3523
India,2021-05-22,4454
India,2021-05-23,3511
India,2022-02-07,1217
India,2021-04-15,1341
United States of America,2021-02-06,2674
India,2021-05-25,3847
United States of America,2020-12-28,2218
United States of America,2021-02-07,1729
United States of America,2021-02-15,1322
India,2021-04-30,3689
United States of America,2020-12-29,3326
India,2021-05-12,4000
India,2021-06-08,6148
United States of America,2021-02-23,1643
United States of America,2020-12-14,1996
United States of America,2021-08-17,1195
India,2021-05-29,3128
India,2021-06-12,3921
United States of America,2021-01-19,2707
India,2021-05-19,4209
United States of America,2021-01-18,2233
United States of America,2021-01-14,3643
India,2021-06-13,2726
United States of America,2020-12-25,2186
United States of America,2021-02-03,3242
United States of America,2020-12-24,2973
United States of America,2021-02-11,3162
United States of America,2021-02-10,2727
United States of America,2021-03-03,1483
India,2021-06-06,2123
United States of America,2021-01-20,3787
India,2021-04-22,2624
India,2022-02-02,1072
India,2021-06-17,1647
India,2021-07-08,1206
United States of America,2021-02-12,2455
India,2021-04-18,1761
India,2021-05-08,3754
United States of America,2021-01-22,3626
United States of America,2021-01-23,2930
India,2021-05-01,3417
United States of America,2021-01-16,3452
United States of America,2021-03-11,1254
India,2021-06-29,1005
India,2021-05-26,3660
India,2022-03-24,4100
India,2021-04-17,1619
India,2021-06-15,2330
United States of America,2021-01-27,3911
United States of America,2020-12-18,2934
India,2021-04-21,2263
India,2021-06-21,1358
United States of America,2020-12-13,2021
India,2021-05-13,3890
India,2021-06-18,1576
United States of America,2020-12-27,1867
United States of America,2021-01-10,2511
India,2021-05-10,4205
India,2021-06-20,1167
India,2021-04-16,1501
India,2021-06-01,2887
United States of America,2021-03-05,1872
United States of America,2021-02-17,2083
India,2021-05-09,3876
India,2022-02-06,1188
India,2021-05-11,4120
India,2021-05-27,3617
United States of America,2021-03-04,1503
United States of America,2020-12-19,2653
United States of America,2021-01-04,2037
India,2021-05-28,3460
United States of America,2021-02-18,2166
United States of America,2021-03-06,1201
India,2021-06-05,2427
United States of America,2021-02-02,2892
United States of America,2021-02-09,2350
United States of America,2021-02-22,1453
United States of America,2020-12-20,2061
United States of America,2021-02-16,1348
United States of America,2021-01-29,3189
India,2021-04-13,1038
India,2021-05-04,3980
India,2022-02-01,1008
United States of America,2021-01-03,2015
United States of America,2021-02-26,1840
United States of America,2021-03-12,1225
India,2021-06-16,1587
United States of America,2021-01-01,2990
