Country_name,3_letter_code,population,area_sq_km,population_density,population_urban,gdp_per_capita_usd
Macedonia,MKD,2077132,25710,83.4,1212740,6093
Nepal,NPL,29136808,147180,203.256,5765513,1071
French Polynesia,PYF,280904,4000,76.75,172870,
Papua New Guinea,PNG,8947027,462840,19.757,1162834,2845
Pakistan,PAK,220892331,796100,286.546,79927762,1284
Paraguay,PRY,7132530,406751,17.953,4359150,5414
Serbia,SRB,6963764,88360,91.0,3907243,7402
South Sudan,SSD,11193729,619745,18.322,2201250,1119
Venezuela,VEN,28435943,912050,32.238,25162368,
Yemen,YEM,29825968,527970,56.492,10869523,968
Thailand,THA,69799978,513120,136.624,35294600,7808
Barbados,BRB,287371,430,668.305,89431,18148
Burundi,BDI,11890781,27830,463.037,1541177,261
Chile,CHL,17574003,756700,25.71,16610135,14896
Cameroon,CMR,26545864,475440,56.157,14741256,1497
Cape Verde,CPV,555988,4030,137.962,364029,3603
Ghana,GHA,31072945,238540,136.56,17249054,2202
Guam,GUM,168783,540,312.561,158693,35712
Saint Kitts and Nevis,KNA,53192,260,204.585,16269,19896
Liberia,LBR,5057677,111370,52.509,2548426,621
Malta,MLT,493559,320,1548.3,475902,30090
Niger,NER,24206636,1267000,19.11,3850231,554
Portugal,PRT,10276617,92225,113.0,6753579,23364
Palau,PLW,18092,460,39.33,14491,15859
Suriname,SUR,586634,163820,3.76,384258,6854
São Tomé and Príncipe,STP,219161,960,228.293,158277,1994
Swaziland,SWZ,1160164,17360,67.451,275333,3837
Tokelau,TKL,1350,10,135.0,,
Trinidad and Tobago,TTO,1399491,5130,272.805,741944,17276
British Virgin Islands,VGB,30237,150,201.58,14449,
Samoa,WSM,198410,2840,70.11,35588,4315
Romania,ROU,19414458,238400,83.1,10468793,12390
Armenia,ARM,2963234,29740,104.083,1869848,4622
Burkina Faso,BFA,20903278,274220,76.401,6092349,774
Belarus,BLR,9449321,207600,46.569,7482982,6663
Costa Rica,CRI,5094114,51100,99.767,4041885,12238
Falkland Islands,FLK,3483,12200,0.286,,
United Kingdom,GBR,66647112,243610,273.8,55908316,43070
Greece,GRC,10724599,131960,82.5,8507474,20296
Iceland,ISL,356991,103000,3.5,339110,66944
Kyrgyzstan,KGZ,6524191,199950,34.016,2362644,1309
Moldova,MDA,4033963,33850,122.799,1135502,4498
Martinique,MTQ,375265,1128,354.024,,
New Caledonia,NCL,285491,18580,15.618,204637,
Sudan,SDN,43849269,1886068,24.843,14957233,441
Slovakia,SVK,5450421,49030,111.8,2930419,19470
Senegal,SEN,16743930,196710,86.968,7765706,1446
Sint Maarten,SXM,42882,34,1261.235,40733,
French Southern Territories,ATF,196,7829,,,
East Timor,TLS,1318442,14870,88.665,400182,1294
Tanzania,TZA,59734213,947300,67.435,20011885,1122
Ukraine,UKR,43733759,603550,75.492,30835699,3659
Saint Vincent and the Grenadines,VCT,110947,390,284.479,58185,7463
South Africa,ZAF,59308690,1219090,48.891,39149717,6001
