Country_name,Total_new_vaccinations
Indonesia,1654154
Indonesia,1117757
Indonesia,629436
Indonesia,1317784
Indonesia,1353886
Indonesia,599870
Indonesia,835260
Indonesia,622958
Indonesia,875819
Indonesia,883209
Indonesia,1128021
Myanmar,2832539
Indonesia,632299
Indonesia,907168
Indonesia,760840
Indonesia,820920
Indonesia,579364
Indonesia,640220
Indonesia,791239
Iran,1661234
Indonesia,544368
Mozambique,603847
Indonesia,549536
Indonesia,696117
Indonesia,842556
Indonesia,876343
Indonesia,863768
Indonesia,579619
Indonesia,652282
Indonesia,568972
Indonesia,639588
Indonesia,510373
Myanmar,1675548
Indonesia,839608
Indonesia,1368611
Laos,845739
Myanmar,585711
Indonesia,750982
Iran,6777160
Indonesia,974368
Indonesia,527878
Indonesia,524111
Indonesia,974837
Zambia,1680538
Indonesia,1089264
Indonesia,1043929
Indonesia,550095
Indonesia,609911
Indonesia,892608
Indonesia,556935
Indonesia,600662
Indonesia,516051
Indonesia,572376
Brazil,745269
Brazil,1117465
Brazil,925957
Brazil,654564
Brazil,815743
Brazil,703079
Brazil,879452
Brazil,1375001
Brazil,892222
Brazil,877094
Turkey,746847
Brazil,582594
Brazil,651868
Brazil,1251861
Brazil,577402
Brazil,888436
Brazil,1156768
Brazil,1085469
Brazil,507005
Brazil,531941
Brazil,693946
Brazil,614727
Brazil,511322
Brazil,1321717
Brazil,1464294
Brazil,1144980
Brazil,540083
Brazil,933224
Turkey,571890
Brazil,583962
Brazil,939330
Brazil,898895
Brazil,525731
Brazil,586186
Brazil,1237026
Brazil,685463
Brazil,775786
Brazil,596194
Brazil,919904
Brazil,888556
Brazil,1500687
Turkey,644626
Brazil,815144
Brazil,1064612
Brazil,1273689
Brazil,720427
Brazil,1120939
Turkey,523199
Brazil,568106
Brazil,651968
Brazil,712081
Brazil,1363008
Brazil,743258
Brazil,1082481
Brazil,639003
Turkey,623622
Brazil,1783693
Brazil,1089626
Brazil,1152996
Brazil,1242989
Turkey,928988
Brazil,887034
Turkey,1077027
Brazil,606545
Brazil,624019
Brazil,607843
Brazil,743638
Brazil,1067894
Brazil,1067529
Brazil,1190633
Brazil,787541
Brazil,1634332
Brazil,1082859
Turkey,748896
Brazil,847923
Brazil,1323459
Brazil,1027834
Brazil,1395096
Brazil,834480
Brazil,641905
Brazil,655891
Brazil,1125754
Turkey,557508
Brazil,982589
Brazil,1104397
Brazil,1392702
Brazil,591433
Brazil,1142760
Turkey,1075467
Brazil,947881
Turkey,502729
Brazil,1072639
Brazil,1096294
Brazil,524616
Brazil,679032
Brazil,602773
Brazil,616497
Brazil,586610
Brazil,512005
Brazil,2157048
Turkey,805567
Turkey,1304691
Brazil,955126
Brazil,636106
Turkey,550747
Brazil,637433
Brazil,871426
Brazil,937343
Brazil,1051885
Brazil,854081
Brazil,597658
Turkey,1386071
Brazil,605669
Brazil,1490480
Brazil,687162
Brazil,1004762
Brazil,778859
Brazil,737115
Brazil,1302347
Brazil,532982
Brazil,570662
Turkey,822337
Brazil,603371
Brazil,1299557
Brazil,783540
Brazil,891778
Brazil,558322
Brazil,1256344
